dim_y,patch_size,Best LR,KF MSE,eval/score_t+2,eval/score_t+4,eval/score_t+8,eval/score_t+16,eval/score_t+32,eval/score_t+64,count
1,1,0.0001,2.1186646819114685,1.068749968757178,1.0392196250634371,1.0167352194302879,1.0129271507242237,1.0127417213767382,1.011070877032375,2
1,8,0.0001,2.1186646819114685,1.9977455487988345,1.948158493777659,1.0415599310671277,1.0380646131100737,1.0344125489979352,1.0181430350206384,2
1,32,0.0003,2.1186646819114685,2.056652530717538,1.9855692779372873,1.9605561465207617,1.9852823532810806,1.0431578332531735,1.0346041455020374,2
2,1,0.0001,2.1417993307113647,1.1140908616708156,1.0557400183493786,1.0288044346673848,1.0156010198764407,1.0134776386928928,1.0130722203442866,2
2,8,0.0003,2.1419419646263123,2.081206704313481,2.0200363625382383,1.088941461025629,1.0418511462129965,1.0339799187622254,1.0244640669628553,2
2,32,0.001,2.1417981386184692,2.0922740249607594,2.010050214410885,2.005753195974711,1.964356982129908,1.0631758768379442,1.0421456171421073,2
4,1,0.001,1.8568562269210815,1.1978818500012025,1.0950996860418032,1.033416900876929,1.0139954451914734,1.0107374895616283,1.0115259144908793,2
4,8,0.0003,1.8568562269210815,2.111404987332885,2.0302871699421114,1.1015913768109895,1.0609555065138672,1.042701181772575,1.0304219800340215,2
4,32,0.0001,1.8569201827049255,2.264793420614384,2.1520465924495316,2.0730211364002287,2.0125051394465596,1.086938480456623,1.0696880752107019,2
