lambda_val,structure,Best LR,KF MSE,eval/score_t+2,eval/score_t+4,eval/score_t+8,eval/score_t+16,eval/score_t+32,eval/score_t+64,count
0.84,dense,0.0003,1.855388104915619,1.0586810203553214,1.025185571335405,1.0153924254505435,1.0133882312174776,1.012930450169108,1.0127740972378185,2
0.84,diagonal,0.0001,1.5025578737258911,1.3473407716513794,1.099180051489332,1.0474989972317048,1.0450980476691223,1.046035744507543,1.0577902737903242,2
0.84,scalar,0.0001,1.0419552028179169,1.104090211276875,1.0291009187474929,1.0234972124423132,1.023854607516628,1.0232166291822313,1.0245441480685744,2
0.92,dense,0.0003,2.2688711881637573,1.1429625713947305,1.07516942345904,1.0388811459362286,1.0142050021992248,1.01126829727734,1.0104736329137194,2
0.92,diagonal,0.001,1.6223371624946594,1.712632082775234,1.2598000852446023,1.0978275598309808,1.0626296641367614,1.0696948050255892,1.0793191523513572,2
0.92,scalar,0.0001,1.041844367980957,1.1524704764419547,1.0381462357176714,1.0265372350713027,1.0275028250488314,1.02592955920022,1.0283712110267076,2
0.98,dense,0.0001,2.3871049880981445,1.229942190835405,1.1596122934182131,1.0695445926899545,1.0329759189865713,1.0169731803971995,1.008195263768496,1
0.98,diagonal,0.001,1.7402542233467102,2.7281845457062577,1.8228267376841303,1.3893766844650919,1.1989482873460167,1.12315387822213,1.1149442997639718,2
0.98,scalar,0.0001,1.0418863594532013,1.204599425900767,1.0486341636814278,1.028765589330006,1.030226171877302,1.028369390819409,1.0302945543457196,2
