lambda_val,Best LR,KF MSE,eval/score_t+2,eval/score_t+4,eval/score_t+8,eval/score_t+16,eval/score_t+32,eval/score_t+64,count
0.36,0.0001,1.126535177230835,1.0158734145210275,1.0120070256984592,1.0146122196635332,1.0148741143448645,1.0144936580649135,1.0144383993167148,2
0.68,0.0001,1.4419522881507874,1.0257522307240423,1.0123459129998154,1.014118967843987,1.0141123882013008,1.013857964460113,1.0130157460454856,2
0.84,0.0003,1.8555848598480225,1.0576782114460002,1.0254609753088169,1.0152884567094287,1.0129911874663677,1.012450948239099,1.011732151653049,2
0.92,0.0003,2.2687845826148987,1.145250188099849,1.0768003401667747,1.040250460918196,1.0156384917956842,1.011535037657021,1.0107778700531123,2
0.96,0.001,2.6024014949798584,1.2983844379500067,1.1880929455607534,1.1138778649328578,1.0370745958253642,1.013546180687887,1.0099473270481052,2
0.98,0.001,2.824804902076721,1.3541455318781503,1.2151258226603974,1.1318640342359512,1.0539800894125242,1.0248758986488369,1.0167069467370067,2
0.99,0.001,2.955874800682068,1.5859821881399272,1.4175441828538087,1.2987877556679437,1.128562033864537,1.037434649484664,1.0124305998818675,2
